College Type,College Name,Degree Offered,Affiliated University,Location,Official Website
Government,"College of Agricultural Engineering, Raichur",B.Tech (Agril. Engg),UAS Raichur,Raichur,https://uasraichur.karnataka.gov.in/english (ceo.karnataka.gov.in)
Government,"College of Agriculture, Chamarajanagar",B.Sc (Agriculture),"University of Agricultural Sciences, Bangalore",Chamarajanagar,https://www.uasbangalore.edu.in (ceo.karnataka.gov.in)
Public (Govt.),"College of Fisheries, Mangaluru","B.F.Sc, M.F.Sc","Karnataka Veterinary, Animal & Fisheries Sciences University",Mangaluru,https://cofm.edu.in (Wikipedia)
Government,"Karnataka Veterinary, Animal & Fisheries Sciences University (KVAFSU)","B.V.Sc & A.H, B.F.Sc, B.Tech Dairy Tech",KVAFSU,Bidar / Multi‑campus,https://kvafsu.edu.in (Wikipedia)
Government,"Bengaluru Veterinary College, Hebbal",B.V.Sc & A.H,"Karnataka Veterinary, Animal & Fisheries Sciences University",Bengaluru,https://kvafsu.edu.in (Wikipedia)
Government,Hassan Veterinary College,B.V.Sc & A.H,"Karnataka Veterinary, Animal & Fisheries Sciences University",Hassan,https://kvafsu.edu.in (Wikipedia)
Government,Shivamogga Veterinary College,B.V.Sc & A.H,"Karnataka Veterinary, Animal & Fisheries Sciences University",Shivamogga,https://kvafsu.edu.in (Wikipedia)
Government,Bidar Veterinary College,B.V.Sc & A.H,"Karnataka Veterinary, Animal & Fisheries Sciences University",Bidar,https://kvafsu.edu.in (Wikipedia)
Government,Institute for Animal Health & Veterinary Biologicals,B.Sc / Dip. in Animal Science,"Karnataka Veterinary, Animal & Fisheries Sciences University",Bengaluru,https://kvafsu.edu.in (Wikipedia)
Government,"Fisheries Research & Information Center (Inland), Hesaraghatta",Allied Science & Research,KVAFSU,Bengaluru,https://kvafsu.edu.in (Wikipedia)
Private,"(Under development) KLE Society Private Agri College, Tenikolla",B.Sc (Agriculture),"University of Agricultural Sciences, Dharwad",Belagavi,(proposed) – news reported (The Times of India)
Private,Adichunchanagiri Agriculture College,B.Sc (Agriculture),"University of Agricultural Sciences, Dharwad",Tumakuru,Reported affiliation (The Times of India)
Government,"Dairy Science College, Hebbal","B.Tech Dairy Technology, M.Sc","Karnataka Veterinary, Animal & Fisheries Sciences University",Bengaluru,https://kvafsu.edu.in (ilearn-india.com)
Government,"Dairy Science College, Gulbarga",B.Tech Dairy Technology,"Karnataka Veterinary, Animal & Fisheries Sciences University",Gulbarga,https://kvafsu.edu.in (educationdunia.com)
Government,"College of Agriculture, Iruvakki",B.Sc (Agriculture),"University of Agricultural Sciences, Dharwad",Belagavi,— (CollegeDekho)
Government,"Sericulture College, Chikkaballapur",B.Sc (Sericulture),"University of Agricultural Sciences, Bangalore",Chikkaballapur,https://www.uasbangalore.edu.in (ilearn-india.com)
Government,"College of Agriculture, Iruvakki",B.Sc (Agriculture),UAS Dharwad,Belagavi,— (CollegeDekho)
Government,"College of Forestry, Sirsi",B.Sc (Forestry),"University of Agricultural Sciences, Dharwad",Uttara Kannada,https://uasd.edu (Digital Sansad)
Government,Institute of Animal Health & Vet Biologicals,Animal Science Diploma/B.Sc,"Karnataka Veterinary, Animal & Fisheries Sciences University",Bengaluru,https://kvafsu.edu.in (educationdunia.com)
Government,Fisheries Research & Info Centre – Inland (Bengaluru),Research/Allied Science,KVAFSU,Bengaluru,https://kvafsu.edu.in (educationdunia.com)
Government,Fisheries Research & Info Centre – Inland (Hessarghatta),Research/Allied Science,KVAFSU,Bengaluru,https://kvafsu.edu.in (educationdunia.com)
Government,Veterinary College – Nandinagar (Bidar),B.V.Sc & A.H,KVAFSU,Bidar,https://kvafsu.edu.in (educationdunia.com)
Government,Veterinary College – Shimoga,B.V.Sc & A.H,KVAFSU,Shivamogga,https://kvafsu.edu.in (educationdunia.com)
Government,Veterinary College – Hassan,B.V.Sc & A.H,KVAFSU,Hassan,https://kvafsu.edu.in (educationdunia.com)
Government,Veterinary College – Vijayapura,B.V.Sc & A.H,KVAFSU,Vijayapura,https://kvafsu.edu.in (educationdunia.com)
Government,Veterinary College – Bidar (Secondary Campus),B.V.Sc & A.H,KVAFSU,Bidar,https://kvafsu.edu.in (educationdunia.com)
Government,Veterinary Hospital Training Division (Yelahanka),Allied/Training,KVAFSU,Bengaluru,https://kvafsu.edu.in (educationdunia.com)
Government,Fisheries Research & Info Centre – Marine (Ankola),Allied Science,KVAFSU,Uttara Kannada,https://kvafsu.edu.in (educationdunia.com)
Government,Institute of Wildlife Veterinary Research – Kodagu,Wildlife & Vet Research,KVAFSU,Kodagu,https://kvafsu.edu.in (educationdunia.com)
Government,L.R.I.C (Sheep) – Nagamangala,Animal Husbandry/R&D,KVAFSU,Mandya,https://kvafsu.edu.in (educationdunia.com)
Government,L.R.I.C (Deoni) – Hallikhed,Animal Husbandry,KVAFSU,Bidar,https://kvafsu.edu.in (educationdunia.com)
Government,"College of Agriculture, Munirabad (proposed/extension)",B.Sc (Agriculture),UAS Dharwad,Koppal,— (Reddit)
Government,College of Forestry & Agri Extension (Field Stations),Research & Continuing Ed,UAS Dharwad,Multiple,— (Wikipedia)
Government,Agriculture Research Extension Station,Allied Science,UAHS Shimoga,Shivamogga,https://uahs.edu.in (Collegedunia)
Government,Horticulture Research Station,Allied Science,UAHS Shimoga,Hiriyur,https://uahs.edu.in (Collegedunia)
Government,Agri Extension Centre (GKVK),Training & Allied,UAS Bangalore,Bengaluru,https://www.uasbangalore.edu.in (Collegedunia)
Government,Horticulture Training Institute,Allied Science,UAHS Shimoga,Shivamogga,https://uahs.edu.in (Collegedunia)
Government,Sericulture Field Research Centre,Research/Allied,UAS Bangalore,Chikkaballapur,https://www.uasbangalore.edu.in (Collegedunia)
Government,Agriculture Information & Tech Centre,Allied Science,UAS Dharwad,Dharwad,https://uasd.edu (Collegedunia)
Public,Krishi Vigyan Kendra (Various Locations),Diploma/Training,ICAR / State Agri Universities,Multiple,https://icar.org.in (general) (Indian Council of Agricultural Research)
Public,Agriculture Technology Information Centre,Knowledge Services,UAS Dharwad,Dharwad,https://uasd.edu (Collegedunia)
Government,Dairy Technology Research Unit,Research Allied,KVAFSU,Bengaluru,https://kvafsu.edu.in (educationdunia.com)
Government,Food Science & Technology Division,Allied Science,UAS Dharwad,Dharwad,https://uasd.edu (Collegedunia)
